encoder,case_id,image_id,provenance,progress,off_axis,source_distance,full_distance,axis_norm,cosine_to_source,cosine_to_full,cosine_distance_source,cosine_distance_full,legacy_ratio_if_available
clip,environment_night_seed_20260914,source,SOURCE INPUT,0.0,0.0,0.0,1.0072047710418701,1.0072047710418701,1.0,0.4927692413330078,0.0,0.5072307586669922,
clip,environment_night_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.5905179381370544,0.5943668484687805,0.8438809514045715,0.7269670963287354,1.0072047710418701,0.6439324617385864,0.735759437084198,0.3560675382614136,0.264240562915802,
clip,environment_night_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.5764395594596863,0.5566332340240479,0.8070992231369019,0.7044993042945862,1.0072047710418701,0.6742954254150391,0.7518404126167297,0.32570457458496094,0.24815958738327026,
clip,environment_night_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.7327679991722107,0.40011003613471985,0.8409026265144348,0.48461201786994934,1.0072047710418701,0.6464414000511169,0.8825755715370178,0.35355859994888306,0.11742442846298218,
clip,environment_night_seed_20260914,full,MODEL-GENERATED NATIVE FULL,1.0,0.0,1.0072047710418701,0.0,1.0072047710418701,0.4927692413330078,1.0,0.5072307586669922,0.0,
siglip,ball_color_seed_20260914,source,SOURCE INPUT,0.0,0.0,0.0,0.5683382153511047,0.5683382153511047,1.0,0.8384959101676941,0.0,0.1615040898323059,
siglip,ball_color_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.7599626779556274,0.4255136549472809,0.4950108826160431,0.27766087651252747,0.5683382153511047,0.8774821162223816,0.9614522457122803,0.12251788377761841,0.03854775428771973,
siglip,ball_color_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8277897834777832,0.3176131248474121,0.5039060711860657,0.20533809065818787,0.5683382153511047,0.8730393648147583,0.9789181351661682,0.1269606351852417,0.021081864833831787,
siglip,ball_color_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.9232953190803528,0.31902140378952026,0.5551849603652954,0.18647927045822144,0.5683382153511047,0.8458847999572754,0.9826128482818604,0.1541152000427246,0.01738715171813965,
siglip,ball_color_seed_20260914,full,MODEL-GENERATED NATIVE FULL,1.0,0.0,0.5683382153511047,0.0,0.5683382153511047,0.8384959101676941,1.0,0.1615040898323059,0.0,
siglip,ball_color_seed_20260915,source,SOURCE INPUT,0.0,0.0,0.0,0.5830380320549011,0.5830380320549011,1.0,0.8300333619117737,0.0,0.16996663808822632,
siglip,ball_color_seed_20260915,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8632460832595825,0.534211277961731,0.5918843150138855,0.32150906324386597,0.5830380320549011,0.8248366117477417,0.9483160972595215,0.1751633882522583,0.051683902740478516,
siglip,ball_color_seed_20260915,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8524072170257568,0.6399566531181335,0.6214601993560791,0.3829135596752167,0.5830380320549011,0.8068936467170715,0.9266886711120605,0.19310635328292847,0.07331132888793945,
siglip,ball_color_seed_20260915,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.9681588411331177,0.2666918933391571,0.585498034954071,0.15659582614898682,0.5830380320549011,0.8285961151123047,0.9877389669418335,0.1714038848876953,0.012261033058166504,
siglip,ball_color_seed_20260915,full,MODEL-GENERATED NATIVE FULL,1.0,0.0,0.5830380320549011,0.0,0.5830380320549011,0.8300333619117737,1.0000001192092896,0.16996663808822632,-1.1920928955078125e-07,
siglip,ball_color_seed_20260916,source,SOURCE INPUT,0.0,0.0,0.0,0.5726750493049622,0.5726750493049622,1.0,0.8360216617584229,0.0,0.16397833824157715,
siglip,ball_color_seed_20260916,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.6976996064186096,0.5951803922653198,0.5251852869987488,0.38229018449783325,0.5726750493049622,0.8620902895927429,0.9269270896911621,0.13790971040725708,0.07307291030883789,
siglip,ball_color_seed_20260916,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.7319989800453186,0.4895420968532562,0.5043033361434937,0.3196101784706116,0.5726750493049622,0.872839093208313,0.9489246606826782,0.127160906791687,0.05107533931732178,
siglip,ball_color_seed_20260916,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8748298287391663,0.34833699464797974,0.5392476320266724,0.21197199821472168,0.5726750493049622,0.8546059727668762,0.9775338172912598,0.14539402723312378,0.022466182708740234,
siglip,ball_color_seed_20260916,full,MODEL-GENERATED NATIVE FULL,1.0,0.0,0.5726750493049622,0.0,0.5726750493049622,0.8360216617584229,0.9999999403953552,0.16397833824157715,5.960464477539063e-08,
siglip,scene_reimagination_seed_20260914,source,SOURCE INPUT,0.0,0.0,0.0,0.6455012559890747,0.6455012559890747,1.0,0.7916640639305115,0.0,0.20833593606948853,
siglip,scene_reimagination_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.819403350353241,0.5519431829452515,0.6377288699150085,0.3748670220375061,0.6455012559890747,0.7966510057449341,0.9297374486923218,0.20334899425506592,0.07026255130767822,
siglip,scene_reimagination_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8931644558906555,0.5331629514694214,0.6714470982551575,0.35099872946739197,0.6455012559890747,0.7745793461799622,0.9383999109268188,0.22542065382003784,0.06160008907318115,
siglip,scene_reimagination_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.9339276552200317,0.3394160270690918,0.6414295434951782,0.2232060730457306,0.6455012559890747,0.7942841053009033,0.9750896692276001,0.20571589469909668,0.024910330772399902,
siglip,scene_reimagination_seed_20260914,full,MODEL-GENERATED NATIVE FULL,1.0,0.0,0.6455012559890747,0.0,0.6455012559890747,0.7916640639305115,1.0,0.20833593606948853,0.0,
siglip,environment_night_seed_20260914,source,SOURCE INPUT,0.0,0.0,0.0,0.8698521256446838,0.8698521256446838,1.0000001192092896,0.6216786503791809,-1.1920928955078125e-07,0.3783213496208191,
siglip,environment_night_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.9160636067390442,0.48078981041908264,0.8999212980270386,0.42454150319099426,0.8698521256446838,0.5950707793235779,0.9098821878433228,0.4049292206764221,0.09011781215667725,
siglip,environment_night_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.9109155535697937,0.42247283458709717,0.8734331130981445,0.37556999921798706,0.8698521256446838,0.6185573935508728,0.9294736385345459,0.3814426064491272,0.0705263614654541,
siglip,environment_night_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.9605305194854736,0.24200189113616943,0.8616296052932739,0.21328723430633545,0.8698521256446838,0.6287972331047058,0.9772542715072632,0.3712027668952942,0.022745728492736816,
