encoder,case_id,primitive_id,image_id,provenance,source_similarity,target_similarity,semantic_margin,progress,endpoint_dynamic_range,text_axis_norm,image_delta_text_alignment,orthogonal_ratio
siglip,ball_color_seed_20260914,weighted_training_ball_color,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.09470216929912567,0.1565553843975067,0.06185321509838104,0.9701070189476013,0.11465666443109512,0.5341532826423645,0.37507253885269165,0.9269954562187195
siglip,ball_color_seed_20260914,weighted_training_ball_color,full,MODEL-GENERATED NATIVE FULL,0.08851059526205063,0.15379123389720917,0.06528063863515854,0.9999999403953552,0.11465666443109512,0.5341532826423645,0.3776822090148926,0.9259352684020996
siglip,ball_color_seed_20260915,ball_color,source,SOURCE INPUT,0.2072441279888153,0.16652585566043854,-0.04071827232837677,0.0,0.11072595417499542,0.4948846399784088,0.0,0.0
siglip,ball_color_seed_20260915,ball_color,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.11008183658123016,0.1682051420211792,0.058123305439949036,0.8926684856414795,0.11072595417499542,0.4948846399784088,0.3374418020248413,0.9413463473320007
siglip,ball_color_seed_20260915,ball_color,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.10229327529668808,0.1679859161376953,0.06569264084100723,0.9610294699668884,0.11072595417499542,0.4948846399784088,0.34599417448043823,0.9382365942001343
siglip,ball_color_seed_20260915,ball_color,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.09534557163715363,0.16271597146987915,0.06737039983272552,0.9761818051338196,0.11072595417499542,0.4948846399784088,0.3730359673500061,0.9278168678283691
siglip,ball_color_seed_20260915,ball_color,full,MODEL-GENERATED NATIVE FULL,0.0890171229839325,0.15902480483055115,0.07000768184661865,0.9999999403953552,0.11072595417499542,0.4948846399784088,0.3837500810623169,0.9234369397163391
siglip,ball_color_seed_20260916,weighted_training_ball_color,source,SOURCE INPUT,0.1448032259941101,0.10088444501161575,-0.043918780982494354,0.0,0.09037291258573532,0.5082939267158508,0.0,0.0
siglip,ball_color_seed_20260916,weighted_training_ball_color,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.10692106187343597,0.14423544704914093,0.037314385175704956,0.8988662362098694,0.09037291258573532,0.5082939267158508,0.30430275201797485,0.9525753855705261
siglip,ball_color_seed_20260916,weighted_training_ball_color,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.10360537469387054,0.14214077591896057,0.03853540122509003,0.912377119064331,0.09037291258573532,0.5082939267158508,0.3216665983200073,0.9468530416488647
siglip,ball_color_seed_20260916,weighted_training_ball_color,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.0915321633219719,0.1351167857646942,0.04358462244272232,0.9682480692863464,0.09037291258573532,0.5082939267158508,0.31924328207969666,0.9476727247238159
siglip,ball_color_seed_20260916,weighted_training_ball_color,full,MODEL-GENERATED NATIVE FULL,0.08620187640190125,0.1326560080051422,0.04645413160324097,0.9999999403953552,0.09037291258573532,0.5082939267158508,0.3104666769504547,0.9505842924118042
siglip,scene_reimagination_seed_20260914,scene_environment_beach_to_minimalist_room,source,SOURCE INPUT,0.14021942019462585,0.01603441685438156,-0.1241850033402443,0.0,0.10554258525371552,0.8657252788543701,0.0,0.0
siglip,scene_reimagination_seed_20260914,scene_environment_beach_to_minimalist_room,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.10448270291090012,0.09097957611083984,-0.013503126800060272,1.0486938953399658,0.10554258525371552,0.8657252788543701,0.20047509670257568,0.9796987771987915
siglip,scene_reimagination_seed_20260914,scene_environment_beach_to_minimalist_room,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.13934683799743652,0.10263706743717194,-0.03670977056026459,0.8288145065307617,0.10554258525371552,0.8657252788543701,0.15048502385616302,0.9886122345924377
siglip,scene_reimagination_seed_20260914,scene_environment_beach_to_minimalist_room,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.11936893314123154,0.09532764554023743,-0.02404128760099411,0.9488464593887329,0.10554258525371552,0.8657252788543701,0.18034109473228455,0.9836041927337646
siglip,scene_reimagination_seed_20260914,scene_environment_beach_to_minimalist_room,full,MODEL-GENERATED NATIVE FULL,0.1150277853012085,0.09638536721467972,-0.018642418086528778,0.9999999403953552,0.10554258525371552,0.8657252788543701,0.188864603638649,0.9820031523704529
siglip,environment_night_seed_20260914,scene_weather_time,source,SOURCE INPUT,0.1433154195547104,0.02577815391123295,-0.11753726750612259,0.0,0.25376346707344055,0.7815206050872803,0.0,0.0
siglip,environment_night_seed_20260914,scene_weather_time,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.04085823521018028,0.1776009500026703,0.1367427110671997,1.00203537940979,0.25376346707344055,0.7815206050872803,0.3615490794181824,0.932353138923645
siglip,environment_night_seed_20260914,scene_weather_time,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.035818345844745636,0.1755380481481552,0.13971969485282898,1.0137667655944824,0.25376346707344055,0.7815206050872803,0.37687477469444275,0.9262641668319702
siglip,environment_night_seed_20260914,scene_weather_time,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.036890819668769836,0.16342991590499878,0.12653909623622894,0.9618262648582458,0.25376346707344055,0.7815206050872803,0.3624638319015503,0.9319977760314941
siglip,environment_night_seed_20260914,scene_weather_time,full,MODEL-GENERATED NATIVE FULL,0.03370431065559387,0.16993051767349243,0.13622620701789856,1.0,0.25376346707344055,0.7815206050872803,0.3732873201370239,0.9277157187461853
